shortname,fullname,Héraðssamband,thorid
AFTURE,Ungmennafélagið Afturelding,UMSK,AFTURE
AKUR,Íþróttafélagið Akur,ÍBA,AKUR
AUSTRI,Ungmennafélagið Austri,UÍA,AUSTRI
Á,Glímufélagið Ármann,ÍBR,Á
BBLIK,Ungmennafélagið Breiðablik,UMSK,BBLIK
BISKUPST,Ungmennafélag Biskupstungna,HSK,BISKUPST
BRAGDIÐ,Bragdið Færeyjar,ERLENT,BRAGDIÐ
DAGSBRÚN,Umf. Dagsbrún,HSK,DAGSBRÚN
DÍMON,Ungmennafélagið Dímon,HSK,DÍMON
EFLING,Umf. Efling,HSÞ,EFLING
EIK,Íþróttafélagið Eik,ÍF,EIK
FH,Fimleikafélag Hafnarfjarðar,ÍBH,FH
FJÖLNIR,Ungmennafélagið Fjölnir,ÍBR,FJÖLNIR
FJÖRÐUR,Íþr. félagið Fjörður,ÍBH,FJÖRÐUR
FRAM,Knattspyrnufélagið Fram,ÍBR,FRAM
FRAMTÍÐ,Umf. Framtíðin,HSK,FRAMTÍÐ
FRÆLSI,Frælsi,ERLENT,FRÆLSI
FYLKIR,Knattspyrnufélagið Fylkir,ÍBR,FYLKIR
GARPUR,Íþf. Garpur,HSK,GARPUR
GEISLI,Ungmennafélagið Geisli,HSÞ,GEISLI
GERPLA,Gerpla,UMSK,GERPLA
GNÚPV.,Umf. Gnúpverja,HSK,GNÚPV.
GRÓTTA,Grótta,ÍBR,GRÓTTA
GRUNDARFJ,Ungmennafélag Grundarfjarðar,HSH,GRUNDARFJ
HAMAR,Íþf. Hamar,HSK,HAMAR
HAUKAR,Haukar,ÍBH,HAUKAR
HEKLA,Umf.Hekla,HSK,HEKLA
HK,Handknattleiksfélag Kópavogs,UMSK,HK
HRUNAM.,Umf. Hrunamanna,HSK,HRUNAM.
HUGINN,"Huginn, Seyðisfirði",UÍA,HUGINN
HVIRLAN,Hvirlan Færeyjar,ERLENT,HVIRLAN
HVISTAN,Hvistan,ERLENT,HVISTAN
HVÖT,Umf. Hvöt,HSK,HVÖT
HÖFRUNGUR,"Íþróttafélagið Höfrungur, Þingeyri",HVÍ,HÖFRUNGUR
HÖRÐUR,Íþróttafélagið Hörður,HHF,HÖRÐUR
HÖTTUR,Íþróttafélagið Höttur,UÍA,HÖTTUR
IF KRONAN,IF Kronan Sweden,ERLENT,IF KRONAN
ÍFB,Íþróttaf. Bílddælinga,,ÍFB
ÍFR,"Íþróttafélag fatlaðra, Reykjavík",ÍF,ÍFR
ÍK,Íþróttafélag Kvenna,,ÍK
ÍR,Íþróttafélag Reykjavíkur,ÍBR,ÍR
ÍS,Íþróttafélag stúdenta,,ÍS
ÍSLENDING,UMF. Íslendingur,UMSB,ÍSLENDING
ÍVAR,Íþróttafélagið Ívar,HSV,ÍVAR
JÚDÓ R.,Júdófélag Reykjavíkur,ÍBR,JÚDÓ R.
KA,Knattspyrnufélag Akureyrar,ÍBA,KA
KATLA,Umf. Katla,USVS,KATLA
KAUPMANNAH,Kaupmannahöfn,ERLENT,KAUPMANNAH
KEFLAVÍK,"Keflavík, Ungmenna- og íþróttafélag",ÍRB,KEFLAVÍK
KEILIR,Keilir,,KEILIR
KFA,Kraftlyftingafélag Akureyrar,ÍBA,KFA
KFR,Körfuknattleiksfél Reykjavíkur,ÍBR,KFR
KJALARNES,Ungmennafélag Kjalarness,UMSK,KJALARNES
KORMÁKUR,Umf. Kormákur,USVH,KORMÁKUR
KR,Knattspyrnufélag Reykjavíkur,ÍBR,KR
KROKETF.R,Kroketfélag Reykjavíkur,,KROKETF.R
KS,KS,,KS
KV,Knattspyrnufélag Vestm.eyja,ÍBV,KV
LAUGDÆLIR,Ungmennafélag Laugdæla,HSK,LAUGDÆLIR
LEIKNIR F,Leiknir Fáskrúðsfirði,UÍA,LEIKNIR F
LEIKNIR R,Leiknir Reykjavík,ÍBR,LEIKNIR R
LÉTTIR,Léttir,,LÉTTIR
MALMÖ AI,Malmö AI,,MALMÖ AI
NEISTI,"Neisti, Djúpavogi",UÍA,NEISTI
NEISTINN,"Umf. Neistinn, Drangsnesi",HSS,NEISTINN
NES,Íþróttafélag fatlaðra á Suðurnesjum,ÍRB,NES
ODENSE,Odense,ERLENT,ODENSE
OSLÓ,Osló,ERLENT,OSLÓ
ÓÐINN,Ungmennafélagið Óðinn Vestm.eyjum,ÍBV,ÓÐINN
REYKDÆLIR,UMF. Reykdæla,UMSB,REYKDÆLIR
ROYSNIÐ,Roysnið,ERLENT,ROYSNIÐ
S.R.,Skautafélag Reykjavíkur,ÍBR,S.R.
SA,Skautafélag Akureyrar,ÍBA,SA
SAMHYGÐ,Umf. Samhygð,HSK,SAMHYGÐ
SELFOSS,Umf. Selfoss,HSK,SELFOSS
